part_id,color,x,y,z,a,b,c,d,e,f,g,h,i,part,part_name,part_cat_id,year_from,year_to,category_name,dim1,dim2,dim3,bracket_info
10,0,30.0,-24.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3005,Brick 1 x 1,11.0,1954.0,2025.0,Bricks,1.0,1.0,,
11,0,-30.0,-24.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3005,Brick 1 x 1,11.0,1954.0,2025.0,Bricks,1.0,1.0,,
12,14,0.0,-32.0,100.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3021,Plate 2 x 3,14.0,1962.0,2025.0,Plates,2.0,3.0,,
13,4,0.0,-40.0,90.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3022,Plate 2 x 2,14.0,1962.0,2025.0,Plates,2.0,2.0,,
14,71,0.0,-48.0,60.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,28964,,,,,,,,,
15,15,40.0,-56.0,90.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,18974,"Wheel Arch, Mudguard 4 x 2 1/2 x 2 1/3",36.0,2015.0,2023.0,Transportation - Land,4.0,2.0,,
16,15,-40.0,-56.0,90.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,18974,"Wheel Arch, Mudguard 4 x 2 1/2 x 2 1/3",36.0,2015.0,2023.0,Transportation - Land,4.0,2.0,,
17,19,0.0,-8.0,40.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3023,Plate 1 x 2,14.0,1962.0,2025.0,Plates,1.0,2.0,,
18,0,0.0,0.0,-50.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,3032,Plate 4 x 6,14.0,1969.0,2025.0,Plates,4.0,6.0,,
19,72,-20.0,-24.0,-90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17485,"Brick Round 2 x 2, Pin Holes",20.0,2015.0,2025.0,Bricks Round and Cones,2.0,2.0,,
20,72,20.0,-24.0,-90.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17485,"Brick Round 2 x 2, Pin Holes",20.0,2015.0,2025.0,Bricks Round and Cones,2.0,2.0,,
21,4,0.0,-32.0,-60.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,11215,"Bracket 5 x 2 x 1 1/3 with Holes, Pin Bottom",5.0,2013.0,2025.0,Bricks Special,5.0,2.0,1,
22,15,-30.0,-8.0,-40.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2420,Plate 2 x 2 Corner,14.0,1987.0,2025.0,Plates,2.0,2.0,,
23,15,30.0,-8.0,-40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2420,Plate 2 x 2 Corner,14.0,1987.0,2025.0,Plates,2.0,2.0,,
24,1,30.0,-16.0,-40.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,2420,Plate 2 x 2 Corner,14.0,1987.0,2025.0,Plates,2.0,2.0,,
25,1,-30.0,-16.0,-40.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,2420,Plate 2 x 2 Corner,14.0,1987.0,2025.0,Plates,2.0,2.0,,
26,15,-40.0,-8.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,3020,Plate 2 x 4,14.0,1962.0,2025.0,Plates,2.0,4.0,,
